barcode,code,YearWeek
TestProcessEligibleChannel2_0,HFGK,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,MKAA,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,9G7L,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,G4YX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,XLYB,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,APDZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,MZD7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,HFMB,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,K8PP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,6TYK,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,DRNH,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,Q79P,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,KPYT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BAQX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GQP7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,WXAL,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,6G8J,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4KDB,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,J33D,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,VZZP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,AFYK,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4HZK,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,N8WN,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4PBQ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,NL2J,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,C93M,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,TV3R,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,T2GJ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LTJD,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4WDY,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,DK2R,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,X8GK,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,NM72,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,AFCJ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,WANT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BPAE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,VDBZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4ENR,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,KYFB,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,32BE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,XEBN,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GPNX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,7Z6B,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,9AE7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,YEB9,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GV2Q,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,74CG,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,VWBT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ABMX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,3XAY,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,CBET,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,27AE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2N4Y,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,T9XG,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,YARW,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,RKVV,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,X32T,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,PRX8,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BXH6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,K663,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2F69,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,RGGX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,MFBX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,J3EZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,EE8Y,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GTQM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ZKQ6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4CNQ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,NPED,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,6P6Q,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,YX39,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,DEHL,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,D682,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,FY9X,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,EWP7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BJ9L,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,JW6E,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,NQ3W,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,PXF3,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,RQAG,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,V979,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2FN7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,VPG4,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,32P2,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,J264,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,9JV6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,CTE6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,NEWA,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,C2HE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2CLC,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ZYFP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,HZ4H,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,8E3G,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GQ2D,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4LVY,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,TQJB,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LY7V,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,WMEE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2LG7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ARXT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,Q8J4,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,8RYA,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,7RPE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,MZRM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,3WCY,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,FCD3,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,W2DP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,YBHZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LHFD,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,9BLH,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BX7Z,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,FHY2,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,R98F,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,JZ6Q,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GPEF,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,AF6K,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,9P6C,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,T48D,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,AJP7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,9J4K,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,7972,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,WRK6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GYYL,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,DZLF,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ARYV,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,F78G,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,WM4J,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,PNTT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,FGQT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,VVC2,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,JJ9K,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,Z3VC,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,PC4H,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,CPWM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ANKE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,KPAL,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,7W37,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,A48R,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,3KM7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BXAC,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,RLPT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,A9HH,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,DRKZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LF3H,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LDAT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2HRG,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,XGKN,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GBZ9,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,KLQ8,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,YVAB,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,WTFM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,WWV6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,8DTM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,RAJG,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,G42C,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BN92,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,39HX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,Q8KB,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,TL3T,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,NLKN,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,B8GA,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,3ZLM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ZLHD,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,6DK8,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,C2FQ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BFYA,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2PHG,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ALMJ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,CX93,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LC8L,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,VC9J,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,XHDV,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,PN9C,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ADB6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,AJJP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BLEZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,7ELJ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,7XPX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,3FP3,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,F3RD,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,AQBP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,644F,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,MM73,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,XLBJ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,RTC7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,HA4N,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,P863,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2EYP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,AZCP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,CVZZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,DA66,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,W449,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2YGX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,T26B,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,G2EN,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,Y74W,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,8H8Q,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,XLQT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4PXQ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,VQZW,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,PEHP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,Q8GD,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4QZ2,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,V2CL,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LQB4,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ZPTE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,XWRG,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,24FE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ETKH,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,F3PG,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,KCGM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,CXJ7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,Y7A2,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,PB8B,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,CFN6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2GXC,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,JDLP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,PVG2,TestProcessEligibleChannel2_0
